experiment,condition,case,passed
peer_code,shared_r1,cirq_18,1
peer_code,masked_r1,cirq_18,1
peer_code,shared_r2,cirq_18,1
peer_code,masked_r2,cirq_18,1
peer_code,shared_r1,cirq_19,1
peer_code,masked_r1,cirq_19,1
peer_code,shared_r2,cirq_19,1
peer_code,masked_r2,cirq_19,1
peer_code,shared_r1,cirq_20,1
peer_code,masked_r1,cirq_20,1
peer_code,shared_r2,cirq_20,1
peer_code,masked_r2,cirq_20,1
peer_code,shared_r1,cirq_21,1
peer_code,masked_r1,cirq_21,1
peer_code,shared_r2,cirq_21,1
peer_code,masked_r2,cirq_21,1
peer_code,shared_r1,cirq_22,1
peer_code,masked_r1,cirq_22,1
peer_code,shared_r2,cirq_22,1
peer_code,masked_r2,cirq_22,1
peer_code,shared_r1,cirq_23,1
peer_code,masked_r1,cirq_23,1
peer_code,shared_r2,cirq_23,1
peer_code,masked_r2,cirq_23,1
peer_code,shared_r1,cirq_24,1
peer_code,masked_r1,cirq_24,1
peer_code,shared_r2,cirq_24,1
peer_code,masked_r2,cirq_24,1
peer_code,shared_r1,cirq_25,1
peer_code,masked_r1,cirq_25,1
peer_code,shared_r2,cirq_25,1
peer_code,masked_r2,cirq_25,1
peer_code,shared_r1,cirq_26,0
peer_code,masked_r1,cirq_26,0
peer_code,shared_r2,cirq_26,0
peer_code,masked_r2,cirq_26,0
peer_code,shared_r1,cirq_27,1
peer_code,masked_r1,cirq_27,1
peer_code,shared_r2,cirq_27,1
peer_code,masked_r2,cirq_27,1
peer_code,shared_r1,cirq_28,1
peer_code,masked_r1,cirq_28,1
peer_code,shared_r2,cirq_28,1
peer_code,masked_r2,cirq_28,1
peer_code,shared_r1,cirq_29,0
peer_code,masked_r1,cirq_29,0
peer_code,shared_r2,cirq_29,0
peer_code,masked_r2,cirq_29,0
peer_code,shared_r1,cirq_30,1
peer_code,masked_r1,cirq_30,1
peer_code,shared_r2,cirq_30,1
peer_code,masked_r2,cirq_30,1
peer_code,shared_r1,cirq_31,0
peer_code,masked_r1,cirq_31,0
peer_code,shared_r2,cirq_31,0
peer_code,masked_r2,cirq_31,0
peer_code,shared_r1,cirq_32,1
peer_code,masked_r1,cirq_32,1
peer_code,shared_r2,cirq_32,1
peer_code,masked_r2,cirq_32,1
peer_code,shared_r1,cirq_33,1
peer_code,masked_r1,cirq_33,1
peer_code,shared_r2,cirq_33,1
peer_code,masked_r2,cirq_33,1
peer_code,shared_r1,cirq_34,1
peer_code,masked_r1,cirq_34,1
peer_code,shared_r2,cirq_34,1
peer_code,masked_r2,cirq_34,1
peer_code,shared_r1,cirq_35,1
peer_code,masked_r1,cirq_35,1
peer_code,shared_r2,cirq_35,1
peer_code,masked_r2,cirq_35,1
peer_code,shared_r1,cirq_36,1
peer_code,masked_r1,cirq_36,1
peer_code,shared_r2,cirq_36,1
peer_code,masked_r2,cirq_36,1
peer_code,shared_r1,cirq_37,1
peer_code,masked_r1,cirq_37,1
peer_code,shared_r2,cirq_37,1
peer_code,masked_r2,cirq_37,1
peer_code,shared_r1,cirq_39,1
peer_code,masked_r1,cirq_39,1
peer_code,shared_r2,cirq_39,1
peer_code,masked_r2,cirq_39,1
peer_code,shared_r1,cirq_40,1
peer_code,masked_r1,cirq_40,1
peer_code,shared_r2,cirq_40,1
peer_code,masked_r2,cirq_40,1
peer_code,shared_r1,cirq_41,0
peer_code,masked_r1,cirq_41,0
peer_code,shared_r2,cirq_41,1
peer_code,masked_r2,cirq_41,0
peer_code,shared_r1,cirq_42,1
peer_code,masked_r1,cirq_42,1
peer_code,shared_r2,cirq_42,1
peer_code,masked_r2,cirq_42,1
peer_code,shared_r1,cirq_43,0
peer_code,masked_r1,cirq_43,0
peer_code,shared_r2,cirq_43,0
peer_code,masked_r2,cirq_43,0
peer_code,shared_r1,cirq_44,1
peer_code,masked_r1,cirq_44,1
peer_code,shared_r2,cirq_44,1
peer_code,masked_r2,cirq_44,1
peer_code,shared_r1,pennylane_01,1
peer_code,masked_r1,pennylane_01,1
peer_code,shared_r2,pennylane_01,1
peer_code,masked_r2,pennylane_01,1
peer_code,shared_r1,pennylane_02,1
peer_code,masked_r1,pennylane_02,1
peer_code,shared_r2,pennylane_02,1
peer_code,masked_r2,pennylane_02,1
peer_code,shared_r1,pennylane_03,1
peer_code,masked_r1,pennylane_03,1
peer_code,shared_r2,pennylane_03,1
peer_code,masked_r2,pennylane_03,1
peer_code,shared_r1,pennylane_04,0
peer_code,masked_r1,pennylane_04,0
peer_code,shared_r2,pennylane_04,0
peer_code,masked_r2,pennylane_04,0
peer_code,shared_r1,pennylane_06,1
peer_code,masked_r1,pennylane_06,1
peer_code,shared_r2,pennylane_06,1
peer_code,masked_r2,pennylane_06,1
peer_code,shared_r1,pennylane_07,1
peer_code,masked_r1,pennylane_07,1
peer_code,shared_r2,pennylane_07,1
peer_code,masked_r2,pennylane_07,1
peer_code,shared_r1,pennylane_08,0
peer_code,masked_r1,pennylane_08,0
peer_code,shared_r2,pennylane_08,0
peer_code,masked_r2,pennylane_08,0
peer_code,shared_r1,pennylane_09,1
peer_code,masked_r1,pennylane_09,1
peer_code,shared_r2,pennylane_09,1
peer_code,masked_r2,pennylane_09,1
peer_code,shared_r1,pennylane_10,1
peer_code,masked_r1,pennylane_10,1
peer_code,shared_r2,pennylane_10,1
peer_code,masked_r2,pennylane_10,1
peer_code,shared_r1,pennylane_11,1
peer_code,masked_r1,pennylane_11,1
peer_code,shared_r2,pennylane_11,1
peer_code,masked_r2,pennylane_11,1
peer_code,shared_r1,pennylane_12,1
peer_code,masked_r1,pennylane_12,1
peer_code,shared_r2,pennylane_12,1
peer_code,masked_r2,pennylane_12,1
peer_code,shared_r1,pennylane_13,1
peer_code,masked_r1,pennylane_13,1
peer_code,shared_r2,pennylane_13,1
peer_code,masked_r2,pennylane_13,1
peer_code,shared_r1,pennylane_14,1
peer_code,masked_r1,pennylane_14,1
peer_code,shared_r2,pennylane_14,1
peer_code,masked_r2,pennylane_14,1
peer_code,shared_r1,pennylane_15,1
peer_code,masked_r1,pennylane_15,1
peer_code,shared_r2,pennylane_15,1
peer_code,masked_r2,pennylane_15,1
peer_code,shared_r1,pennylane_16,1
peer_code,masked_r1,pennylane_16,1
peer_code,shared_r2,pennylane_16,1
peer_code,masked_r2,pennylane_16,1
peer_code,shared_r1,pennylane_17,1
peer_code,masked_r1,pennylane_17,1
peer_code,shared_r2,pennylane_17,1
peer_code,masked_r2,pennylane_17,1
peer_code,shared_r1,pennylane_18,1
peer_code,masked_r1,pennylane_18,1
peer_code,shared_r2,pennylane_18,1
peer_code,masked_r2,pennylane_18,1
peer_code,shared_r1,pennylane_19,1
peer_code,masked_r1,pennylane_19,1
peer_code,shared_r2,pennylane_19,1
peer_code,masked_r2,pennylane_19,1
peer_code,shared_r1,pennylane_20,1
peer_code,masked_r1,pennylane_20,1
peer_code,shared_r2,pennylane_20,1
peer_code,masked_r2,pennylane_20,1
peer_code,shared_r1,pennylane_21,1
peer_code,masked_r1,pennylane_21,1
peer_code,shared_r2,pennylane_21,1
peer_code,masked_r2,pennylane_21,1
peer_code,shared_r1,pennylane_22,1
peer_code,masked_r1,pennylane_22,1
peer_code,shared_r2,pennylane_22,1
peer_code,masked_r2,pennylane_22,1
peer_code,shared_r1,pennylane_23,1
peer_code,masked_r1,pennylane_23,1
peer_code,shared_r2,pennylane_23,1
peer_code,masked_r2,pennylane_23,1
peer_code,shared_r1,pennylane_24,1
peer_code,masked_r1,pennylane_24,1
peer_code,shared_r2,pennylane_24,1
peer_code,masked_r2,pennylane_24,1
peer_code,shared_r1,pennylane_25,1
peer_code,masked_r1,pennylane_25,1
peer_code,shared_r2,pennylane_25,1
peer_code,masked_r2,pennylane_25,1
peer_code,shared_r1,pennylane_26,0
peer_code,masked_r1,pennylane_26,0
peer_code,shared_r2,pennylane_26,0
peer_code,masked_r2,pennylane_26,0
peer_code,shared_r1,pennylane_27,1
peer_code,masked_r1,pennylane_27,1
peer_code,shared_r2,pennylane_27,1
peer_code,masked_r2,pennylane_27,1
peer_code,shared_r1,pennylane_28,1
peer_code,masked_r1,pennylane_28,1
peer_code,shared_r2,pennylane_28,1
peer_code,masked_r2,pennylane_28,1
peer_code,shared_r1,pennylane_29,0
peer_code,masked_r1,pennylane_29,0
peer_code,shared_r2,pennylane_29,0
peer_code,masked_r2,pennylane_29,0
peer_code,shared_r1,pennylane_30,1
peer_code,masked_r1,pennylane_30,1
peer_code,shared_r2,pennylane_30,1
peer_code,masked_r2,pennylane_30,1
peer_code,shared_r1,pennylane_31,0
peer_code,masked_r1,pennylane_31,0
peer_code,shared_r2,pennylane_31,0
peer_code,masked_r2,pennylane_31,0
peer_code,shared_r1,pennylane_32,1
peer_code,masked_r1,pennylane_32,1
peer_code,shared_r2,pennylane_32,1
peer_code,masked_r2,pennylane_32,1
peer_code,shared_r1,pennylane_33,1
peer_code,masked_r1,pennylane_33,1
peer_code,shared_r2,pennylane_33,1
peer_code,masked_r2,pennylane_33,1
peer_code,shared_r1,pennylane_34,1
peer_code,masked_r1,pennylane_34,1
peer_code,shared_r2,pennylane_34,1
peer_code,masked_r2,pennylane_34,1
peer_code,shared_r1,pennylane_35,1
peer_code,masked_r1,pennylane_35,1
peer_code,shared_r2,pennylane_35,1
peer_code,masked_r2,pennylane_35,1
peer_code,shared_r1,pennylane_36,1
peer_code,masked_r1,pennylane_36,1
peer_code,shared_r2,pennylane_36,1
peer_code,masked_r2,pennylane_36,1
peer_code,shared_r1,pennylane_37,1
peer_code,masked_r1,pennylane_37,1
peer_code,shared_r2,pennylane_37,1
peer_code,masked_r2,pennylane_37,1
peer_code,shared_r1,pennylane_39,1
peer_code,masked_r1,pennylane_39,1
peer_code,shared_r2,pennylane_39,1
peer_code,masked_r2,pennylane_39,1
peer_code,shared_r1,pennylane_40,1
peer_code,masked_r1,pennylane_40,1
peer_code,shared_r2,pennylane_40,1
peer_code,masked_r2,pennylane_40,1
peer_code,shared_r1,pennylane_41,0
peer_code,masked_r1,pennylane_41,0
peer_code,shared_r2,pennylane_41,1
peer_code,masked_r2,pennylane_41,0
peer_code,shared_r1,pennylane_42,1
peer_code,masked_r1,pennylane_42,1
peer_code,shared_r2,pennylane_42,1
peer_code,masked_r2,pennylane_42,1
peer_code,shared_r1,pennylane_43,0
peer_code,masked_r1,pennylane_43,0
peer_code,shared_r2,pennylane_43,0
peer_code,masked_r2,pennylane_43,0
peer_code,shared_r1,pennylane_44,1
peer_code,masked_r1,pennylane_44,1
peer_code,shared_r2,pennylane_44,1
peer_code,masked_r2,pennylane_44,1
peer_code,shared_r1,qiskit_01,1
peer_code,masked_r1,qiskit_01,1
peer_code,shared_r2,qiskit_01,1
peer_code,masked_r2,qiskit_01,1
peer_code,shared_r1,qiskit_02,1
peer_code,masked_r1,qiskit_02,1
peer_code,shared_r2,qiskit_02,1
peer_code,masked_r2,qiskit_02,1
peer_code,shared_r1,qiskit_03,1
peer_code,masked_r1,qiskit_03,1
peer_code,shared_r2,qiskit_03,1
peer_code,masked_r2,qiskit_03,1
peer_code,shared_r1,qiskit_04,1
peer_code,masked_r1,qiskit_04,1
peer_code,shared_r2,qiskit_04,1
peer_code,masked_r2,qiskit_04,1
peer_code,shared_r1,qiskit_06,1
peer_code,masked_r1,qiskit_06,1
peer_code,shared_r2,qiskit_06,1
peer_code,masked_r2,qiskit_06,1
peer_code,shared_r1,qiskit_07,1
peer_code,masked_r1,qiskit_07,1
peer_code,shared_r2,qiskit_07,1
peer_code,masked_r2,qiskit_07,1
peer_code,shared_r1,qiskit_08,0
peer_code,masked_r1,qiskit_08,0
peer_code,shared_r2,qiskit_08,0
peer_code,masked_r2,qiskit_08,0
peer_code,shared_r1,qiskit_09,1
peer_code,masked_r1,qiskit_09,1
peer_code,shared_r2,qiskit_09,1
peer_code,masked_r2,qiskit_09,1
peer_code,shared_r1,qiskit_10,1
peer_code,masked_r1,qiskit_10,1
peer_code,shared_r2,qiskit_10,1
peer_code,masked_r2,qiskit_10,1
peer_code,shared_r1,qiskit_11,1
peer_code,masked_r1,qiskit_11,1
peer_code,shared_r2,qiskit_11,1
peer_code,masked_r2,qiskit_11,1
peer_code,shared_r1,qiskit_12,1
peer_code,masked_r1,qiskit_12,1
peer_code,shared_r2,qiskit_12,1
peer_code,masked_r2,qiskit_12,1
peer_code,shared_r1,qiskit_13,1
peer_code,masked_r1,qiskit_13,1
peer_code,shared_r2,qiskit_13,1
peer_code,masked_r2,qiskit_13,1
peer_code,shared_r1,qiskit_14,1
peer_code,masked_r1,qiskit_14,1
peer_code,shared_r2,qiskit_14,1
peer_code,masked_r2,qiskit_14,1
peer_code,shared_r1,qiskit_15,1
peer_code,masked_r1,qiskit_15,1
peer_code,shared_r2,qiskit_15,1
peer_code,masked_r2,qiskit_15,1
peer_code,shared_r1,qiskit_16,1
peer_code,masked_r1,qiskit_16,1
peer_code,shared_r2,qiskit_16,1
peer_code,masked_r2,qiskit_16,1
peer_code,shared_r1,qiskit_17,1
peer_code,masked_r1,qiskit_17,1
peer_code,shared_r2,qiskit_17,1
peer_code,masked_r2,qiskit_17,1
peer_code,shared_r1,qiskit_18,1
peer_code,masked_r1,qiskit_18,1
peer_code,shared_r2,qiskit_18,1
peer_code,masked_r2,qiskit_18,1
peer_code,shared_r1,qiskit_19,1
peer_code,masked_r1,qiskit_19,1
peer_code,shared_r2,qiskit_19,1
peer_code,masked_r2,qiskit_19,1
peer_code,shared_r1,qiskit_20,1
peer_code,masked_r1,qiskit_20,1
peer_code,shared_r2,qiskit_20,1
peer_code,masked_r2,qiskit_20,1
peer_code,shared_r1,qiskit_21,1
peer_code,masked_r1,qiskit_21,1
peer_code,shared_r2,qiskit_21,1
peer_code,masked_r2,qiskit_21,1
peer_code,shared_r1,qiskit_22,1
peer_code,masked_r1,qiskit_22,1
peer_code,shared_r2,qiskit_22,1
peer_code,masked_r2,qiskit_22,1
peer_code,shared_r1,qiskit_23,1
peer_code,masked_r1,qiskit_23,1
peer_code,shared_r2,qiskit_23,1
peer_code,masked_r2,qiskit_23,1
peer_code,shared_r1,qiskit_24,1
peer_code,masked_r1,qiskit_24,1
peer_code,shared_r2,qiskit_24,1
peer_code,masked_r2,qiskit_24,1
peer_code,shared_r1,qiskit_25,1
peer_code,masked_r1,qiskit_25,1
peer_code,shared_r2,qiskit_25,1
peer_code,masked_r2,qiskit_25,1
peer_code,shared_r1,qiskit_26,0
peer_code,masked_r1,qiskit_26,0
peer_code,shared_r2,qiskit_26,1
peer_code,masked_r2,qiskit_26,0
peer_code,shared_r1,qiskit_27,1
peer_code,masked_r1,qiskit_27,1
peer_code,shared_r2,qiskit_27,1
peer_code,masked_r2,qiskit_27,1
peer_code,shared_r1,qiskit_28,1
peer_code,masked_r1,qiskit_28,1
peer_code,shared_r2,qiskit_28,1
peer_code,masked_r2,qiskit_28,1
peer_code,shared_r1,qiskit_29,0
peer_code,masked_r1,qiskit_29,0
peer_code,shared_r2,qiskit_29,0
peer_code,masked_r2,qiskit_29,0
peer_code,shared_r1,qiskit_30,1
peer_code,masked_r1,qiskit_30,1
peer_code,shared_r2,qiskit_30,1
peer_code,masked_r2,qiskit_30,1
peer_code,shared_r1,qiskit_31,0
peer_code,masked_r1,qiskit_31,0
peer_code,shared_r2,qiskit_31,0
peer_code,masked_r2,qiskit_31,0
peer_code,shared_r1,qiskit_32,1
peer_code,masked_r1,qiskit_32,1
peer_code,shared_r2,qiskit_32,1
peer_code,masked_r2,qiskit_32,1
peer_code,shared_r1,qiskit_33,1
peer_code,masked_r1,qiskit_33,1
peer_code,shared_r2,qiskit_33,1
peer_code,masked_r2,qiskit_33,1
peer_code,shared_r1,qiskit_34,1
peer_code,masked_r1,qiskit_34,1
peer_code,shared_r2,qiskit_34,1
peer_code,masked_r2,qiskit_34,1
peer_code,shared_r1,qiskit_35,1
peer_code,masked_r1,qiskit_35,1
peer_code,shared_r2,qiskit_35,1
peer_code,masked_r2,qiskit_35,1
peer_code,shared_r1,qiskit_36,1
peer_code,masked_r1,qiskit_36,1
peer_code,shared_r2,qiskit_36,1
peer_code,masked_r2,qiskit_36,1
peer_code,shared_r1,qiskit_37,1
peer_code,masked_r1,qiskit_37,1
peer_code,shared_r2,qiskit_37,1
peer_code,masked_r2,qiskit_37,1
peer_code,shared_r1,qiskit_39,1
peer_code,masked_r1,qiskit_39,1
peer_code,shared_r2,qiskit_39,1
peer_code,masked_r2,qiskit_39,1
peer_code,shared_r1,qiskit_40,1
peer_code,masked_r1,qiskit_40,1
peer_code,shared_r2,qiskit_40,1
peer_code,masked_r2,qiskit_40,1
peer_code,shared_r1,qiskit_41,0
peer_code,masked_r1,qiskit_41,0
peer_code,shared_r2,qiskit_41,0
peer_code,masked_r2,qiskit_41,0
peer_code,shared_r1,qiskit_42,1
peer_code,masked_r1,qiskit_42,1
peer_code,shared_r2,qiskit_42,1
peer_code,masked_r2,qiskit_42,1
peer_code,shared_r1,qiskit_43,0
peer_code,masked_r1,qiskit_43,0
peer_code,shared_r2,qiskit_43,0
peer_code,masked_r2,qiskit_43,0
peer_code,shared_r1,qiskit_44,1
peer_code,masked_r1,qiskit_44,1
peer_code,shared_r2,qiskit_44,1
peer_code,masked_r2,qiskit_44,1
all_peer_information,outcomes_r1,cirq_01,1
all_peer_information,none_r1,cirq_01,1
all_peer_information,outcomes_r2,cirq_01,1
all_peer_information,none_r2,cirq_01,1
all_peer_information,outcomes_r1,cirq_02,1
all_peer_information,none_r1,cirq_02,1
all_peer_information,outcomes_r2,cirq_02,1
all_peer_information,none_r2,cirq_02,1
all_peer_information,outcomes_r1,cirq_03,1
all_peer_information,none_r1,cirq_03,1
all_peer_information,outcomes_r2,cirq_03,1
all_peer_information,none_r2,cirq_03,1
all_peer_information,outcomes_r1,cirq_04,1
all_peer_information,none_r1,cirq_04,0
all_peer_information,outcomes_r2,cirq_04,1
all_peer_information,none_r2,cirq_04,0
all_peer_information,outcomes_r1,cirq_06,1
all_peer_information,none_r1,cirq_06,1
all_peer_information,outcomes_r2,cirq_06,1
all_peer_information,none_r2,cirq_06,1
all_peer_information,outcomes_r1,cirq_07,1
all_peer_information,none_r1,cirq_07,1
all_peer_information,outcomes_r2,cirq_07,1
all_peer_information,none_r2,cirq_07,1
all_peer_information,outcomes_r1,cirq_08,0
all_peer_information,none_r1,cirq_08,0
all_peer_information,outcomes_r2,cirq_08,0
all_peer_information,none_r2,cirq_08,0
all_peer_information,outcomes_r1,cirq_09,1
all_peer_information,none_r1,cirq_09,1
all_peer_information,outcomes_r2,cirq_09,1
all_peer_information,none_r2,cirq_09,1
all_peer_information,outcomes_r1,cirq_10,1
all_peer_information,none_r1,cirq_10,1
all_peer_information,outcomes_r2,cirq_10,1
all_peer_information,none_r2,cirq_10,1
all_peer_information,outcomes_r1,cirq_11,1
all_peer_information,none_r1,cirq_11,1
all_peer_information,outcomes_r2,cirq_11,1
all_peer_information,none_r2,cirq_11,1
all_peer_information,outcomes_r1,cirq_12,1
all_peer_information,none_r1,cirq_12,1
all_peer_information,outcomes_r2,cirq_12,1
all_peer_information,none_r2,cirq_12,1
all_peer_information,outcomes_r1,cirq_13,1
all_peer_information,none_r1,cirq_13,1
all_peer_information,outcomes_r2,cirq_13,1
all_peer_information,none_r2,cirq_13,1
all_peer_information,outcomes_r1,cirq_14,1
all_peer_information,none_r1,cirq_14,1
all_peer_information,outcomes_r2,cirq_14,1
all_peer_information,none_r2,cirq_14,1
all_peer_information,outcomes_r1,cirq_15,1
all_peer_information,none_r1,cirq_15,1
all_peer_information,outcomes_r2,cirq_15,1
all_peer_information,none_r2,cirq_15,1
all_peer_information,outcomes_r1,cirq_16,1
all_peer_information,none_r1,cirq_16,1
all_peer_information,outcomes_r2,cirq_16,1
all_peer_information,none_r2,cirq_16,1
all_peer_information,outcomes_r1,cirq_17,1
all_peer_information,none_r1,cirq_17,1
all_peer_information,outcomes_r2,cirq_17,1
all_peer_information,none_r2,cirq_17,1
all_peer_information,outcomes_r1,cirq_18,1
all_peer_information,none_r1,cirq_18,1
all_peer_information,outcomes_r2,cirq_18,1
all_peer_information,none_r2,cirq_18,1
all_peer_information,outcomes_r1,cirq_19,1
all_peer_information,none_r1,cirq_19,1
all_peer_information,outcomes_r2,cirq_19,1
all_peer_information,none_r2,cirq_19,1
all_peer_information,outcomes_r1,cirq_20,1
all_peer_information,none_r1,cirq_20,1
all_peer_information,outcomes_r2,cirq_20,1
all_peer_information,none_r2,cirq_20,1
all_peer_information,outcomes_r1,cirq_21,1
all_peer_information,none_r1,cirq_21,1
all_peer_information,outcomes_r2,cirq_21,1
all_peer_information,none_r2,cirq_21,1
all_peer_information,outcomes_r1,cirq_22,1
all_peer_information,none_r1,cirq_22,1
all_peer_information,outcomes_r2,cirq_22,1
all_peer_information,none_r2,cirq_22,1
all_peer_information,outcomes_r1,cirq_23,1
all_peer_information,none_r1,cirq_23,1
all_peer_information,outcomes_r2,cirq_23,1
all_peer_information,none_r2,cirq_23,1
all_peer_information,outcomes_r1,cirq_24,1
all_peer_information,none_r1,cirq_24,1
all_peer_information,outcomes_r2,cirq_24,1
all_peer_information,none_r2,cirq_24,1
all_peer_information,outcomes_r1,cirq_25,0
all_peer_information,none_r1,cirq_25,0
all_peer_information,outcomes_r2,cirq_25,1
all_peer_information,none_r2,cirq_25,0
all_peer_information,outcomes_r1,cirq_26,0
all_peer_information,none_r1,cirq_26,0
all_peer_information,outcomes_r2,cirq_26,0
all_peer_information,none_r2,cirq_26,0
all_peer_information,outcomes_r1,cirq_27,1
all_peer_information,none_r1,cirq_27,1
all_peer_information,outcomes_r2,cirq_27,1
all_peer_information,none_r2,cirq_27,1
all_peer_information,outcomes_r1,cirq_28,1
all_peer_information,none_r1,cirq_28,1
all_peer_information,outcomes_r2,cirq_28,1
all_peer_information,none_r2,cirq_28,1
all_peer_information,outcomes_r1,cirq_29,0
all_peer_information,none_r1,cirq_29,0
all_peer_information,outcomes_r2,cirq_29,0
all_peer_information,none_r2,cirq_29,0
all_peer_information,outcomes_r1,cirq_30,1
all_peer_information,none_r1,cirq_30,1
all_peer_information,outcomes_r2,cirq_30,1
all_peer_information,none_r2,cirq_30,1
all_peer_information,outcomes_r1,cirq_31,0
all_peer_information,none_r1,cirq_31,0
all_peer_information,outcomes_r2,cirq_31,0
all_peer_information,none_r2,cirq_31,0
all_peer_information,outcomes_r1,cirq_32,1
all_peer_information,none_r1,cirq_32,1
all_peer_information,outcomes_r2,cirq_32,1
all_peer_information,none_r2,cirq_32,1
all_peer_information,outcomes_r1,cirq_33,1
all_peer_information,none_r1,cirq_33,1
all_peer_information,outcomes_r2,cirq_33,1
all_peer_information,none_r2,cirq_33,1
all_peer_information,outcomes_r1,cirq_34,1
all_peer_information,none_r1,cirq_34,1
all_peer_information,outcomes_r2,cirq_34,1
all_peer_information,none_r2,cirq_34,1
all_peer_information,outcomes_r1,cirq_35,1
all_peer_information,none_r1,cirq_35,1
all_peer_information,outcomes_r2,cirq_35,1
all_peer_information,none_r2,cirq_35,1
all_peer_information,outcomes_r1,cirq_36,1
all_peer_information,none_r1,cirq_36,1
all_peer_information,outcomes_r2,cirq_36,1
all_peer_information,none_r2,cirq_36,1
all_peer_information,outcomes_r1,cirq_37,1
all_peer_information,none_r1,cirq_37,1
all_peer_information,outcomes_r2,cirq_37,1
all_peer_information,none_r2,cirq_37,1
all_peer_information,outcomes_r1,cirq_39,1
all_peer_information,none_r1,cirq_39,1
all_peer_information,outcomes_r2,cirq_39,1
all_peer_information,none_r2,cirq_39,1
all_peer_information,outcomes_r1,cirq_40,1
all_peer_information,none_r1,cirq_40,1
all_peer_information,outcomes_r2,cirq_40,1
all_peer_information,none_r2,cirq_40,1
all_peer_information,outcomes_r1,cirq_41,0
all_peer_information,none_r1,cirq_41,0
all_peer_information,outcomes_r2,cirq_41,0
all_peer_information,none_r2,cirq_41,0
all_peer_information,outcomes_r1,cirq_42,1
all_peer_information,none_r1,cirq_42,1
all_peer_information,outcomes_r2,cirq_42,1
all_peer_information,none_r2,cirq_42,1
all_peer_information,outcomes_r1,cirq_43,0
all_peer_information,none_r1,cirq_43,0
all_peer_information,outcomes_r2,cirq_43,0
all_peer_information,none_r2,cirq_43,0
all_peer_information,outcomes_r1,cirq_44,1
all_peer_information,none_r1,cirq_44,1
all_peer_information,outcomes_r2,cirq_44,1
all_peer_information,none_r2,cirq_44,1
all_peer_information,outcomes_r1,pennylane_01,1
all_peer_information,none_r1,pennylane_01,1
all_peer_information,outcomes_r2,pennylane_01,1
all_peer_information,none_r2,pennylane_01,1
all_peer_information,outcomes_r1,pennylane_02,1
all_peer_information,none_r1,pennylane_02,1
all_peer_information,outcomes_r2,pennylane_02,1
all_peer_information,none_r2,pennylane_02,1
all_peer_information,outcomes_r1,pennylane_03,1
all_peer_information,none_r1,pennylane_03,1
all_peer_information,outcomes_r2,pennylane_03,1
all_peer_information,none_r2,pennylane_03,1
all_peer_information,outcomes_r1,pennylane_04,1
all_peer_information,none_r1,pennylane_04,0
all_peer_information,outcomes_r2,pennylane_04,0
all_peer_information,none_r2,pennylane_04,0
all_peer_information,outcomes_r1,pennylane_06,1
all_peer_information,none_r1,pennylane_06,1
all_peer_information,outcomes_r2,pennylane_06,1
all_peer_information,none_r2,pennylane_06,1
