condition,case,framework,task_id,passed,submissions
restart,cirq_21,cirq,21,1,1
restart,cirq_22,cirq,22,1,1
restart,cirq_23,cirq,23,1,1
restart,cirq_24,cirq,24,1,1
restart,cirq_25,cirq,25,1,3
restart,cirq_26,cirq,26,0,6
restart,cirq_27,cirq,27,1,1
restart,cirq_28,cirq,28,1,1
restart,cirq_29,cirq,29,0,6
restart,cirq_30,cirq,30,1,1
restart,cirq_31,cirq,31,0,6
restart,cirq_32,cirq,32,1,1
restart,cirq_33,cirq,33,1,2
restart,cirq_34,cirq,34,1,2
restart,cirq_35,cirq,35,1,1
restart,cirq_36,cirq,36,1,2
restart,cirq_37,cirq,37,1,1
restart,cirq_39,cirq,39,1,1
restart,cirq_40,cirq,40,1,2
restart,cirq_41,cirq,41,0,6
restart,cirq_42,cirq,42,1,1
restart,cirq_43,cirq,43,0,6
restart,cirq_44,cirq,44,1,1
restart,pennylane_01,pennylane,01,1,1
restart,pennylane_02,pennylane,02,1,1
restart,pennylane_03,pennylane,03,1,2
restart,pennylane_04,pennylane,04,0,6
restart,pennylane_06,pennylane,06,1,2
restart,pennylane_07,pennylane,07,1,2
restart,pennylane_08,pennylane,08,0,6
restart,pennylane_09,pennylane,09,1,2
restart,pennylane_10,pennylane,10,1,2
restart,pennylane_11,pennylane,11,1,2
restart,pennylane_12,pennylane,12,1,1
restart,pennylane_13,pennylane,13,1,1
restart,pennylane_14,pennylane,14,1,1
restart,pennylane_15,pennylane,15,1,2
restart,pennylane_16,pennylane,16,1,1
restart,pennylane_17,pennylane,17,1,1
restart,pennylane_18,pennylane,18,1,1
restart,pennylane_19,pennylane,19,1,1
restart,pennylane_20,pennylane,20,1,2
restart,pennylane_21,pennylane,21,1,1
restart,pennylane_22,pennylane,22,1,1
restart,pennylane_23,pennylane,23,1,1
restart,pennylane_24,pennylane,24,1,1
restart,pennylane_25,pennylane,25,1,3
restart,pennylane_26,pennylane,26,0,6
restart,pennylane_27,pennylane,27,1,1
restart,pennylane_28,pennylane,28,1,1
restart,pennylane_29,pennylane,29,0,6
restart,pennylane_30,pennylane,30,1,1
restart,pennylane_31,pennylane,31,0,6
restart,pennylane_32,pennylane,32,1,1
restart,pennylane_33,pennylane,33,1,1
restart,pennylane_34,pennylane,34,1,1
restart,pennylane_35,pennylane,35,1,1
restart,pennylane_36,pennylane,36,1,2
restart,pennylane_37,pennylane,37,1,1
restart,pennylane_39,pennylane,39,1,1
restart,pennylane_40,pennylane,40,1,2
restart,pennylane_41,pennylane,41,0,6
restart,pennylane_42,pennylane,42,1,1
restart,pennylane_43,pennylane,43,0,6
restart,pennylane_44,pennylane,44,1,2
restart,qiskit_01,qiskit,01,1,1
restart,qiskit_02,qiskit,02,1,1
restart,qiskit_03,qiskit,03,1,1
restart,qiskit_04,qiskit,04,1,4
restart,qiskit_06,qiskit,06,1,1
restart,qiskit_07,qiskit,07,1,2
restart,qiskit_08,qiskit,08,0,6
restart,qiskit_09,qiskit,09,1,2
restart,qiskit_10,qiskit,10,1,3
restart,qiskit_11,qiskit,11,1,3
restart,qiskit_12,qiskit,12,1,2
restart,qiskit_13,qiskit,13,1,1
restart,qiskit_14,qiskit,14,1,1
restart,qiskit_15,qiskit,15,1,1
restart,qiskit_16,qiskit,16,1,1
restart,qiskit_17,qiskit,17,1,1
restart,qiskit_18,qiskit,18,1,1
restart,qiskit_19,qiskit,19,1,1
restart,qiskit_20,qiskit,20,1,3
restart,qiskit_21,qiskit,21,1,1
restart,qiskit_22,qiskit,22,1,1
restart,qiskit_23,qiskit,23,1,1
restart,qiskit_24,qiskit,24,1,1
restart,qiskit_25,qiskit,25,1,3
restart,qiskit_26,qiskit,26,1,5
restart,qiskit_27,qiskit,27,1,1
restart,qiskit_28,qiskit,28,1,1
restart,qiskit_29,qiskit,29,0,6
restart,qiskit_30,qiskit,30,1,1
restart,qiskit_31,qiskit,31,0,6
restart,qiskit_32,qiskit,32,1,1
restart,qiskit_33,qiskit,33,1,1
restart,qiskit_34,qiskit,34,1,1
restart,qiskit_35,qiskit,35,1,1
restart,qiskit_36,qiskit,36,1,1
restart,qiskit_37,qiskit,37,1,1
restart,qiskit_39,qiskit,39,1,1
restart,qiskit_40,qiskit,40,1,2
restart,qiskit_41,qiskit,41,0,6
restart,qiskit_42,qiskit,42,1,1
restart,qiskit_43,qiskit,43,0,6
restart,qiskit_44,qiskit,44,1,1
